Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
163,106,82,37,555,0,0,1,1,3,2,1,no
164,60,15,40,58,1,1,0,0,9,1,0,yes
142,58,421,43,498,1,1,1,1,9,2,1,yes
25,497,145,82,203,0,0,0,0,1,1,0,no
26,555,58,498,145,1,1,0,0,4,1,0,no
2,99,222,39,84,0,0,1,1,9,4,2,yes
350,42,29,58,113,0,0,0,0,11,2,0,yes
421,101,99,85,81,1,1,1,1,4,3,2,no
2,37,44,126,245,1,0,0,0,5,2,0,yes
145,58,350,8,421,0,1,1,1,5,2,1,no
15,142,60,9,58,0,0,0,0,0,0,0,no
81,517,518,43,91,1,1,1,0,6,2,0,yes
58,111,141,145,43,0,1,1,0,8,2,0,yes
555,15,421,9,268,1,0,0,0,0,0,0,no
24,5,99,51,1,0,0,0,0,4,0,0,no
39,40,58,163,81,1,1,1,1,8,4,1,yes
3,120,145,113,555,1,0,1,0,2,2,0,no
266,79,58,61,111,0,1,0,1,9,2,1,yes
164,119,25,60,58,0,1,1,0,5,1,0,no
266,33,26,41,15,1,0,0,1,9,2,2,yes
58,103,99,81,266,1,1,0,0,7,0,0,yes
41,555,13,30,145,0,0,0,0,0,0,0,no
39,59,68,25,236,1,1,1,0,8,2,0,yes
145,111,157,58,113,0,0,0,0,0,0,0,no
236,350,92,266,76,0,1,1,1,11,1,1,yes
145,13,39,141,37,1,0,0,0,0,0,0,no
163,67,9,517,164,0,0,0,0,1,0,0,no
111,145,39,58,113,1,1,1,0,6,1,0,yes
517,55,145,89,39,1,0,0,0,2,0,0,no
555,81,58,64,350,0,1,1,1,8,3,1,yes
517,141,18,99,45,0,1,0,0,1,0,0,no
58,15,350,60,56,1,0,1,1,9,4,1,yes
106,145,555,421,84,1,0,1,0,3,2,0,no
58,37,24,8,9,0,1,0,1,9,0,1,yes
99,421,517,58,15,0,1,1,1,11,4,2,yes
79,81,39,164,113,1,0,0,0,2,0,0,no
113,99,236,39,84,0,0,0,0,0,0,0,yes
24,58,81,43,421,1,0,0,0,0,0,0,no
9,8,58,15,99,0,0,0,0,3,0,0,no
517,64,30,81,111,1,1,1,0,9,1,0,yes
58,12,518,2,13,1,1,1,0,1,2,0,yes
99,236,39,266,76,0,0,0,0,0,0,0,no
113,119,25,58,84,1,1,0,1,11,2,1,yes
517,39,64,40,81,0,0,1,0,1,2,0,no
236,111,33,58,13,0,0,0,0,0,0,0,no
99,51,268,203,555,1,1,1,0,1,1,0,yes
9,41,517,350,81,0,0,0,0,0,0,0,no
498,58,64,245,412,1,1,0,0,5,0,0,yes
12,517,81,104,79,0,0,0,0,1,0,0,no
58,141,498,163,111,1,1,1,0,6,1,0,yes
